n,k_construction,verified
3,0,yes
4,1,no
5,1,no
6,3,no
7,3,no
8,3,no
9,3,no
10,4,no
11,4,no
12,4,no
13,4,no
14,4,no
15,4,no
16,4,no
17,4,no
18,5,no
19,5,no
20,5,no
21,5,no
22,5,no
23,5,no
24,5,no
25,5,no
26,5,no
27,5,no
28,5,no
29,5,no
30,5,no
31,5,no
32,5,no
33,5,no
34,5,no
35,5,no
36,5,no
37,5,no
38,5,no
39,5,no
40,5,no
41,6,no
42,6,no
43,6,no
44,6,no
45,6,no
46,6,no
47,6,no
48,6,no
49,6,no
50,6,no
51,6,no
52,6,no
53,6,no
54,6,no
55,6,no
56,6,no
57,6,no
58,6,no
59,6,no
60,6,no
61,6,no
62,6,no
63,6,no
64,6,no
65,6,no
66,7,no
67,7,no
68,7,no
69,7,no
70,7,no
71,7,no
72,7,no
73,7,no
74,7,no
75,7,no
76,7,no
77,7,no
78,7,no
79,7,no
80,7,no
81,7,no
82,7,no
83,7,no
84,7,no
85,7,no
86,7,no
87,7,no
88,7,no
89,7,no
90,7,no
91,7,no
92,7,no
93,7,no
94,7,no
95,7,no
96,7,no
97,7,no
98,7,no
99,7,no
100,7,no
101,7,no
102,7,no
103,7,no
104,7,no
105,7,no
106,7,no
107,7,no
108,7,no
109,7,no
110,7,no
111,7,no
112,7,no
113,7,no
114,7,no
115,7,no
116,7,no
117,7,no
118,7,no
119,7,no
120,7,no
121,7,no
122,7,no
123,7,no
124,7,no
125,7,no
126,7,no
127,7,no
128,7,no
129,7,no
130,8,no
131,8,no
132,8,no
133,8,no
134,8,no
135,8,no
136,8,no
137,8,no
138,8,no
139,8,no
140,8,no
141,8,no
142,8,no
143,8,no
144,8,no
145,8,no
146,8,no
147,8,no
148,8,no
149,8,no
150,8,no
151,8,no
152,8,no
153,8,no
154,8,no
155,8,no
156,8,no
157,8,no
158,8,no
159,8,no
160,8,no
161,8,no
162,8,no
163,8,no
164,8,no
165,8,no
166,8,no
167,8,no
168,8,no
169,8,no
170,8,no
171,8,no
172,8,no
173,8,no
174,8,no
175,8,no
176,8,no
177,8,no
178,8,no
179,8,no
180,8,no
181,8,no
182,8,no
183,8,no
184,8,no
185,8,no
186,8,no
187,8,no
188,8,no
189,8,no
190,8,no
191,8,no
192,8,no
193,8,no
194,8,no
195,8,no
196,8,no
197,8,no
198,8,no
199,8,no
200,8,no
201,8,no
202,8,no
203,8,no
204,8,no
205,8,no
206,8,no
207,8,no
208,8,no
209,8,no
210,8,no
211,8,no
212,8,no
213,8,no
214,8,no
215,8,no
216,8,no
217,8,no
218,8,no
219,8,no
220,8,no
221,8,no
222,8,no
223,8,no
224,8,no
225,8,no
226,8,no
227,8,no
228,8,no
229,8,no
230,8,no
231,8,no
232,8,no
233,8,no
234,8,no
235,8,no
236,8,no
237,8,no
238,8,no
239,8,no
240,8,no
241,8,no
242,8,no
243,8,no
244,8,no
245,8,no
246,8,no
247,8,no
248,8,no
249,8,no
250,8,no
251,8,no
252,8,no
253,8,no
254,8,no
255,8,no
256,8,no
257,8,no
258,9,no
259,9,no
260,9,no
261,9,no
262,9,no
263,9,no
264,9,no
265,9,no
266,9,no
267,9,no
268,9,no
269,9,no
270,9,no
271,9,no
272,9,no
273,9,no
274,9,no
275,9,no
276,9,no
277,9,no
278,9,no
279,9,no
280,9,no
281,9,no
282,9,no
283,9,no
284,9,no
285,9,no
286,9,no
287,9,no
288,9,no
289,9,no
290,9,no
291,9,no
292,9,no
293,9,no
294,9,no
295,9,no
296,9,no
297,9,no
298,9,no
299,9,no
300,9,no
350,9,no
400,9,no
450,9,no
500,9,no
514,10,no
550,10,no
600,10,no
650,10,no
700,10,no
750,10,no
800,10,no
850,10,no
900,10,no
950,10,no
1000,10,no
1026,11,no
1050,11,no
1100,11,no
1150,11,no
1200,11,no
1250,11,no
1300,11,no
1350,11,no
1400,11,no
1450,11,no
1500,11,no
1550,11,no
1600,11,no
1650,11,no
1700,11,no
1750,11,no
1800,11,no
1850,11,no
1900,11,no
1950,11,no
2000,11,no
