# family (0,2)(0,n-7)(1,13)(3,n-6)(4,31)(n-8,n-5)
# checked with search/verify.py (networkx simple_cycles), 2026-09-15T01:51:51
# columns: n | chord set | verdict | missing lengths in [3,n]
41 | (0,2) (0,34) (1,13) (3,35) (4,31) (33,36) | pancyclic | -
42 | (0,2) (0,35) (1,13) (3,36) (4,31) (34,37) | pancyclic | -
43 | (0,2) (0,36) (1,13) (3,37) (4,31) (35,38) | pancyclic | -
44 | (0,2) (0,37) (1,13) (3,38) (4,31) (36,39) | pancyclic | -
45 | (0,2) (0,38) (1,13) (3,39) (4,31) (37,40) | pancyclic | -
46 | (0,2) (0,39) (1,13) (3,40) (4,31) (38,41) | pancyclic | -
47 | (0,2) (0,40) (1,13) (3,41) (4,31) (39,42) | pancyclic | -
48 | (0,2) (0,41) (1,13) (3,42) (4,31) (40,43) | pancyclic | -
49 | (0,2) (0,42) (1,13) (3,43) (4,31) (41,44) | pancyclic | -
50 | (0,2) (0,43) (1,13) (3,44) (4,31) (42,45) | pancyclic | -
51 | (0,2) (0,44) (1,13) (3,45) (4,31) (43,46) | pancyclic | -
52 | (0,2) (0,45) (1,13) (3,46) (4,31) (44,47) | pancyclic | -
53 | (0,2) (0,46) (1,13) (3,47) (4,31) (45,48) | pancyclic | -
54 | (0,2) (0,47) (1,13) (3,48) (4,31) (46,49) | pancyclic | -
55 | (0,2) (0,48) (1,13) (3,49) (4,31) (47,50) | pancyclic | -
56 | (0,2) (0,49) (1,13) (3,50) (4,31) (48,51) | pancyclic | -
57 | (0,2) (0,50) (1,13) (3,51) (4,31) (49,52) | pancyclic | -
58 | (0,2) (0,51) (1,13) (3,52) (4,31) (50,53) | pancyclic | -
59 | (0,2) (0,52) (1,13) (3,53) (4,31) (51,54) | pancyclic | -
60 | (0,2) (0,53) (1,13) (3,54) (4,31) (52,55) | pancyclic | -
61 | (0,2) (0,54) (1,13) (3,55) (4,31) (53,56) | pancyclic | -
62 | (0,2) (0,55) (1,13) (3,56) (4,31) (54,57) | pancyclic | -
63 | (0,2) (0,56) (1,13) (3,57) (4,31) (55,58) | pancyclic | -
64 | (0,2) (0,57) (1,13) (3,58) (4,31) (56,59) | pancyclic | -
65 | (0,2) (0,58) (1,13) (3,59) (4,31) (57,60) | pancyclic | -
66 | (0,2) (0,59) (1,13) (3,60) (4,31) (58,61) | pancyclic | -
67 | (0,2) (0,60) (1,13) (3,61) (4,31) (59,62) | pancyclic | -
68 | (0,2) (0,61) (1,13) (3,62) (4,31) (60,63) | NOT pancyclic | [33]
# SUMMARY: n=41..67 pancyclic for all 27 values: YES
