n,h,witness,seconds,k_tried_none
3,0,"",0,""
4,1,"(0,2)",0,""
5,1,"(0,2)",0,""
6,2,"(0,2) (0,3)",0,""
7,2,"(0,2) (0,3)",0,""
8,2,"(0,2) (0,5)",0,""
9,3,"(0,2) (0,3) (0,4)",0,"k=2(0s)"
10,3,"(0,2) (0,3) (0,6)",0,""
11,3,"(0,2) (0,3) (0,7)",0,""
12,3,"(0,2) (0,3) (2,6)",0,""
13,3,"(0,2) (0,4) (1,7)",0,""
14,3,"(0,2) (0,4) (1,7)",0,""
15,4,"(0,2) (0,3) (0,4) (1,11)",0,"k=3(0s)"
16,4,"(0,2) (0,3) (0,4) (3,8)",0,"k=3(0s)"
17,4,"(0,2) (0,3) (0,5) (1,9)",0,"k=3(0s)"
18,4,"(0,2) (0,3) (0,5) (1,9)",0,""
19,4,"(0,2) (0,3) (0,7) (6,10)",0,""
20,4,"(0,2) (0,3) (1,14) (2,6)",0,""
21,4,"(0,2) (0,4) (1,7) (2,15)",0,""
22,4,"(0,2) (0,15) (1,13) (14,17)",2,""
23,4,"(0,2) (0,20) (1,18) (8,20)",4,""
24,4,"(0,2) (0,21) (1,19) (8,23)",5,""
25,5,"(0,2) (0,3) (0,4) (0,20) (1,16)",0,"k=4(42s)"
26,5,"(0,2) (0,3) (0,4) (1,11) (1,22)",0,"k=4(50s)"
27,5,"(0,2) (0,3) (0,5) (1,9) (3,18)",1,"k=4(56s)"
28,5,"(0,2) (0,3) (0,5) (1,17) (2,21)",1,"k=4(65s)"
29,5,"(0,2) (0,3) (0,5) (1,18) (2,22)",2,"k=4(42s)"
30,5,"(0,2) (0,3) (0,9) (3,11) (4,16)",9,"k=4(22s)"
31,5,"(0,2) (0,3) (0,10) (5,9) (6,24)",13,"k=4(6s)"
32,5,"(0,2) (0,3) (0,28) (1,14) (6,31)",57,"k=4(2s)"
33,5,"(0,2) (0,3) (0,29) (1,14) (6,32)",64,"k=4(0s)"
34,5,"(0,2) (0,4) (0,21) (1,7) (3,26)",708,""
35,5,"(0,2) (0,10) (1,4) (3,18) (6,34)",6049,""
36,5,"(0,2) (0,11) (1,7) (7,10) (8,19)",8575,""
37,6,"(0,2) (0,3) (0,4) (0,7) (1,23) (3,28)",19,"k=5(905s)"
